"components/662cb12a387a3d0011473a82/_transcript/inlineTranscriptBody/","<p dir=""ltr""><strong>Quando a Internet começou nos anos 90, ela não era muito avançada. Se chamava a Rede Mundial de Computadores, e grande parte era apenas texto. Pois a velocidade de conexão era extremamente lenta, demorava muito para carregar uma só imagem. Está discando, fazendo tudo sozinho. Legal! Agora- Veja o que está em sua tela. Esqueça o vídeo.</strong></p><p>&nbsp;</p><p dir=""ltr""><strong>Tudo isso mudou com a Web 2.0. Trazendo velocidades de conexão de rede mais rápidas, a ênfase da Web 2.0 foi a interatividade. Os sites se tornaram mais dinâmicos, você podia brincar e fazer coisas neles. Eles não eram mais páginas estáticas, como se fossem livros digitais. Eles podiam mudar o seu conteúdo dependendo do que você fazia neles. A Amazon foi uma das primeiras empresas a utilizar o potencial da Web 2.0, permitindo que os clientes comprassem produtos em seu site e depois os entregando diretamente em suas casas. Empresas como YouTube e Facebook surgiram, oferecendo não só conteúdo em vídeo e outros tipos de conteúdo, mas também formas de interagir com os outros usuários deixando comentários ou iniciando conversas online.</strong></p><p>&nbsp;</p><p dir=""ltr""><strong>A Internet das Coisas, ou IoT, levou a conectividade digital mais além dos dispositivos de computação tradicional, como computadores e smartphones. A IoT se trata de integrar objetos do nosso dia a dia com a tecnologia para permitir que eles se conectem com a Internet, permitindo que coletem e troquem dados. Essa integração transforma objetos simples em dispositivos inteligentes, melhorando sua funcionalidade e nossa capacidade de interagir com eles. Um bom exemplo é um termostato inteligente numa casa que memoriza seu cronograma e ajusta a temperatura de acordo com seus hábitos. Ou uma câmera de segurança em sua casa que pode enviar uma transmissão direta ao seu smartphone sempre que detecta movimentos quando você está longe de casa. Talvez seja um gato de rua, talvez não.</strong></p><p>&nbsp;</p><p dir=""ltr""><strong>A esse ponto, você já deve ter percebido que a interação entre o mundo analógico e o digital está cada vez mais integrada, melhorando nossas experiências diárias. Tradicionalmente, para ver seu saldo ou transferir dinheiro para outra pessoa, você precisava ir ao banco. Hoje em dia, com as plataformas de banco digitais, essas tarefas podem ser feitas online. Você pode ver o saldo de sua conta, transferir, ou até pedir empréstimos com seu smartphone ou computador. Isso combina a praticidade da tecnologia digital com as práticas de banco tradicionais. Outro exemplo é a educação. Historicamente, era necessário ter presença física numa sala de aula. Hoje em dia, com a integração da tecnologia digital, as plataformas de educação online surgiram. Os alunos podem participar de palestras, de discussões, além de enviar seus trabalhos por meios digitais, do conforto de suas casas, ou de onde quer que estejam. Integrar experiências analógicas e digitais não só trouxe flexibilidade e praticidade, mas também ampliou o acesso a oportunidades além das restrições geográficas, permitindo que pessoas que antes não tinham acesso a essas ferramentas e serviços agora possam ter acesso aos mesmos.</strong></p>"
"components/662cb12a387a3d0011473a82/_transcript/transcriptLinkButton/","Baixar transcrição"
"components/662cb1965f555c001145e892/title/","Questões sobre o vídeo"
"components/662cb21b0dcb90001103ce94/title/","Questão 1"
"components/662cb21b0dcb90001103ce94/displayTitle/","Questão 1"
"components/662cb21b0dcb90001103ce94/body/","<p>Qual a característica principal da Internet antiga nos anos 90?</p>"
"components/662cb21b0dcb90001103ce94/_items/0/text/","Era composta, em grande parte, apenas de texto"
"components/662cb21b0dcb90001103ce94/_items/1/text/","As rápidas velocidades de conexão"
"components/662cb21b0dcb90001103ce94/_items/2/text/","O conteúdo em vídeo"
"components/662cb21b0dcb90001103ce94/_items/3/text/","O alto nível de interatividade"
"components/662cb21b0dcb90001103ce94/_feedback/correct/","<p dir=""ltr"">Correto.</p>"
"components/662cb21b0dcb90001103ce94/_feedback/_incorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cb21b0dcb90001103ce94/_feedback/_partlyCorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cb3a70dcb90001103ce95/title/","Questão 2"
"components/662cb3a70dcb90001103ce95/displayTitle/","Questão 2"
"components/662cb3a70dcb90001103ce95/body/","<p>Qual foi a ênfase da Web 2.0 graças às melhores velocidades de rede?</p>"
"components/662cb3a70dcb90001103ce95/_items/0/text/","Interatividade e conteúdo dinâmico"
"components/662cb3a70dcb90001103ce95/_items/1/text/","Os sites tiveram sua funcionalidade reduzida"
"components/662cb3a70dcb90001103ce95/_items/2/text/","O conteúdo dos sites era estático"
"components/662cb3a70dcb90001103ce95/_items/3/text/","As interfaces eram exclusivamente em texto"
"components/662cb3a70dcb90001103ce95/_feedback/correct/","<p dir=""ltr"">Correto.</p>"
"components/662cb3a70dcb90001103ce95/_feedback/_incorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
